t_ms,code,microstrain
0.000,-384800,214.64
1.000,-384296,215.53
2.000,-384059,215.95
3.000,-390845,203.97
4.000,-391606,202.62
5.000,-392610,200.85
6.000,-395186,196.30
7.000,-397804,191.68
8.000,-400642,186.67
9.000,-403474,181.67
10.000,-405906,177.38
11.000,-405322,178.41
12.000,-410583,169.12
13.000,-412822,165.17
14.000,-414168,162.79
15.000,-416654,158.40
16.000,-420305,151.96
17.000,-423186,146.87
18.000,-425512,142.76
19.000,-425782,142.29
20.000,-427751,138.81
21.000,-434994,126.02
22.000,-437587,121.44
23.000,-440088,117.03
24.000,-443641,110.75
25.000,-447481,103.98
26.000,-449524,100.37
27.000,-452988,94.25
28.000,-453308,93.69
29.000,-460498,80.99
30.000,-463498,75.70
31.000,-465749,71.72
32.000,-469574,64.97
33.000,-473140,58.67
34.000,-474726,55.87
35.000,-478421,49.35
36.000,-482629,41.92
37.000,-485213,37.36
38.000,-489489,29.81
39.000,-493165,23.32
40.000,-492333,24.79
41.000,-498588,13.74
42.000,-502966,6.01
43.000,-505213,2.05
44.000,-507635,-2.23
45.000,-511176,-8.48
46.000,-517408,-19.48
47.000,-516738,-18.30
48.000,-519793,-23.69
49.000,-520942,-25.72
50.000,-524736,-32.42
51.000,-528870,-39.72
52.000,-532652,-46.40
53.000,-534633,-49.90
54.000,-536626,-53.41
55.000,-539988,-59.35
56.000,-541671,-62.32
57.000,-544378,-67.10
58.000,-546468,-70.79
59.000,-548812,-74.93
60.000,-550972,-78.74
61.000,-554935,-85.74
62.000,-556590,-88.66
63.000,-557058,-89.49
64.000,-559998,-94.68
65.000,-561198,-96.80
66.000,-564063,-101.86
67.000,-566167,-105.57
68.000,-567305,-107.58
69.000,-569471,-111.40
70.000,-569485,-111.43
71.000,-572484,-116.72
72.000,-572410,-116.59
73.000,-575444,-121.95
74.000,-573934,-119.28
75.000,-575806,-122.59
76.000,-574584,-120.43
77.000,-576072,-123.06
78.000,-578240,-126.89
79.000,-578363,-127.10
80.000,-576583,-123.96
81.000,-579359,-128.86
82.000,-577535,-125.64
83.000,-577564,-125.69
84.000,-577189,-125.03
85.000,-579379,-128.90
86.000,-579073,-128.36
87.000,-579045,-128.31
88.000,-575755,-122.50
89.000,-577941,-126.36
90.000,-575611,-122.24
91.000,-575285,-121.67
92.000,-574653,-120.55
93.000,-572738,-117.17
94.000,-574116,-119.60
95.000,-572781,-117.25
96.000,-572121,-116.08
97.000,-570921,-113.96
98.000,-568235,-109.22
99.000,-566123,-105.49
102.083,-562041,-155.72
103.083,-562089,-155.80
104.083,-562443,-156.43
105.083,-559104,-150.53
106.083,-558162,-148.87
107.083,-555828,-144.75
108.083,-553789,-141.15
109.083,-550886,-136.02
110.083,-551675,-137.42
111.083,-548232,-131.34
112.083,-545098,-125.80
113.083,-543640,-123.23
114.083,-539902,-116.63
115.083,-537914,-113.12
116.083,-534882,-107.77
117.083,-531471,-101.74
118.083,-527272,-94.33
119.083,-527301,-94.38
120.083,-523910,-88.40
121.083,-518869,-79.50
122.083,-516424,-75.18
123.083,-513041,-69.21
124.083,-508106,-60.49
125.083,-507339,-59.14
126.083,-502682,-50.92
127.083,-501266,-48.42
128.083,-499594,-45.46
129.083,-495535,-38.30
130.083,-490110,-28.72
131.083,-487159,-23.51
132.083,-483701,-17.40
133.083,-480026,-10.92
134.083,-477078,-5.71
135.083,-475276,-2.53
136.083,-470613,5.70
137.083,-469470,7.72
138.083,-464093,17.21
139.083,-460622,23.34
140.083,-459273,25.72
141.083,-456367,30.85
142.083,-452745,37.25
143.083,-449541,42.91
144.083,-446543,48.20
145.083,-443874,52.91
146.083,-439599,60.46
147.083,-437809,63.62
148.083,-434567,69.34
149.083,-432225,73.48
150.083,-427871,81.17
151.083,-425083,86.09
152.083,-422797,90.12
153.083,-419912,95.22
154.083,-415584,102.86
155.083,-413333,106.83
156.083,-410777,111.35
157.083,-409076,114.35
158.083,-405656,120.39
159.083,-403262,124.61
160.083,-401246,128.17
161.083,-397527,134.74
162.083,-395106,139.01
163.083,-395218,138.82
164.083,-390252,147.58
165.083,-388376,150.90
166.083,-389896,148.21
167.083,-387001,153.32
168.083,-384180,158.30
169.083,-379840,165.97
170.083,-380724,164.41
171.083,-379510,166.55
172.083,-378330,168.63
173.083,-376750,171.42
174.083,-373808,176.62
175.083,-374525,175.35
176.083,-370728,182.05
177.083,-371319,181.01
178.083,-367400,187.93
179.083,-369509,184.21
180.083,-368130,186.64
181.083,-368313,186.32
182.083,-366346,189.79
183.083,-365979,190.44
184.083,-367013,188.61
185.083,-365980,190.44
186.083,-365298,191.64
187.083,-364570,192.93
188.083,-362852,195.96
189.083,-365832,190.70
190.083,-364540,192.98
191.083,-367019,188.60
192.083,-365831,190.70
193.083,-365435,191.40
194.083,-366984,188.66
195.083,-367444,187.85
196.083,-366426,189.65
197.083,-370446,182.55
198.083,-368356,186.24
199.083,-369851,183.60
200.083,-371081,181.43
203.104,-374642,185.10
204.104,-375269,183.99
205.104,-375249,184.03
206.104,-378045,179.09
207.104,-377066,180.82
208.104,-378977,177.45
209.104,-379972,175.69
210.104,-381234,173.46
211.104,-385021,166.78
212.104,-386143,164.79
213.104,-388353,160.89
214.104,-390579,156.96
215.104,-392465,153.63
216.104,-392972,152.74
217.104,-397965,143.92
218.104,-399613,141.01
219.104,-400910,138.72
220.104,-403631,133.92
221.104,-405329,130.92
222.104,-408207,125.84
223.104,-411235,120.49
224.104,-411591,119.87
225.104,-416458,111.27
226.104,-418039,108.48
227.104,-421102,103.07
228.104,-425949,94.52
229.104,-426587,93.39
230.104,-430728,86.08
231.104,-433117,81.86
232.104,-434900,78.71
233.104,-438662,72.07
234.104,-442330,65.59
235.104,-444366,62.00
236.104,-447698,56.12
237.104,-450885,50.49
238.104,-453040,46.69
239.104,-457830,38.23
240.104,-461661,31.46
241.104,-463660,27.94
242.104,-468478,19.43
243.104,-470859,15.23
244.104,-475823,6.46
245.104,-476997,4.39
246.104,-482574,-5.46
247.104,-483655,-7.37
248.104,-488740,-16.34
249.104,-492387,-22.78
250.104,-493341,-24.47
251.104,-498126,-32.92
252.104,-500954,-37.91
253.104,-501678,-39.19
254.104,-506563,-47.81
255.104,-507746,-49.90
256.104,-511714,-56.91
257.104,-517038,-66.31
258.104,-520270,-72.01
259.104,-522313,-75.62
260.104,-524608,-79.67
261.104,-526588,-83.17
262.104,-527415,-84.63
263.104,-533297,-95.01
264.104,-533225,-94.88
265.104,-538677,-104.51
266.104,-540414,-107.58
267.104,-541268,-109.08
268.104,-540484,-107.70
269.104,-542285,-110.88
270.104,-549797,-124.14
271.104,-551944,-127.93
272.104,-555304,-133.87
273.104,-557084,-137.01
274.104,-558707,-139.87
275.104,-557142,-137.11
276.104,-563304,-147.99
277.104,-566214,-153.13
278.104,-564656,-150.38
279.104,-566926,-154.38
280.104,-569031,-158.10
281.104,-571059,-161.68
282.104,-570513,-160.72
283.104,-574531,-167.81
284.104,-576153,-170.68
285.104,-574649,-168.02
286.104,-574679,-168.07
287.104,-576782,-171.79
288.104,-576963,-172.11
289.104,-578008,-173.95
290.104,-579259,-176.16
291.104,-575084,-168.79
292.104,-577535,-173.12
293.104,-575982,-170.37
294.104,-578421,-174.68
295.104,-577707,-173.42
296.104,-579105,-175.89
297.104,-577128,-172.40
298.104,-577570,-173.18
299.104,-577632,-173.29
300.104,-576995,-172.16
301.104,-576189,-170.74
304.176,-570663,-170.31
305.176,-575631,-179.08
306.176,-571890,-172.48
307.176,-572458,-173.48
308.176,-569163,-167.66
309.176,-570313,-169.69
310.176,-567110,-164.04
311.176,-567308,-164.39
312.176,-565884,-161.87
313.176,-564302,-159.08
314.176,-561691,-154.47
315.176,-560962,-153.18
316.176,-557235,-146.60
317.176,-556760,-145.76
318.176,-554484,-141.74
319.176,-548233,-130.71
320.176,-549261,-132.52
321.176,-547357,-129.16
322.176,-544913,-124.85
323.176,-543983,-123.20
324.176,-540774,-117.54
325.176,-538893,-114.22
326.176,-537234,-111.29
327.176,-533002,-103.82
328.176,-527984,-94.96
329.176,-527183,-93.54
330.176,-522111,-84.59
331.176,-520731,-82.15
332.176,-517451,-76.36
333.176,-512491,-67.60
334.176,-511730,-66.26
335.176,-508507,-60.57
336.176,-504625,-53.72
337.176,-501505,-48.21
338.176,-499887,-45.35
339.176,-496522,-39.41
340.176,-492450,-32.22
341.176,-490197,-28.24
342.176,-486368,-21.48
343.176,-483886,-17.10
344.176,-478284,-7.21
345.176,-475618,-2.50
346.176,-471914,4.04
347.176,-468464,10.13
