t_ms,code,microstrain
0.000,-481854,82.50
1.000,-488732,70.36
2.000,-481407,83.29
3.000,-488447,70.86
4.000,-496889,55.95
5.000,-494251,60.61
6.000,-499537,51.28
7.000,-502873,45.39
8.000,-504455,42.60
9.000,-504614,42.32
10.000,-503950,43.49
11.000,-513306,26.97
12.000,-505695,40.41
13.000,-516631,21.10
14.000,-516761,20.87
15.000,-516832,20.74
16.000,-525324,5.75
17.000,-523814,8.42
18.000,-526822,3.11
19.000,-527467,1.97
20.000,-526863,3.03
21.000,-530325,-3.08
22.000,-537352,-15.48
23.000,-539318,-18.96
24.000,-537474,-15.70
25.000,-541315,-22.48
26.000,-546876,-32.30
27.000,-547625,-33.62
28.000,-543750,-26.78
29.000,-545929,-30.63
30.000,-546601,-31.81
31.000,-547878,-34.07
32.000,-544926,-28.86
33.000,-547743,-33.83
34.000,-550473,-38.65
35.000,-548156,-34.56
36.000,-555000,-46.64
37.000,-553189,-43.45
38.000,-554682,-46.08
39.000,-554445,-45.66
40.000,-554888,-46.45
41.000,-556574,-49.42
42.000,-559387,-54.39
43.000,-551165,-39.87
44.000,-558711,-53.19
45.000,-559054,-53.80
46.000,-559928,-55.34
47.000,-560864,-57.00
48.000,-555279,-47.14
49.000,-557976,-51.90
50.000,-557721,-51.45
51.000,-556838,-49.89
52.000,-556643,-49.54
53.000,-555814,-48.08
54.000,-559716,-54.97
55.000,-558764,-53.29
56.000,-557819,-51.62
57.000,-554359,-45.51
58.000,-553332,-43.70
59.000,-554947,-46.55
60.000,-554744,-46.19
61.000,-549847,-37.55
62.000,-547834,-33.99
63.000,-546447,-31.54
64.000,-543053,-25.55
65.000,-543736,-26.76
66.000,-546901,-32.34
67.000,-539870,-19.93
68.000,-542939,-25.35
69.000,-539004,-18.40
70.000,-538150,-16.89
71.000,-542244,-24.12
72.000,-536187,-13.43
73.000,-533052,-7.89
74.000,-527496,1.92
75.000,-528308,0.48
76.000,-535013,-11.35
77.000,-528896,-0.56
78.000,-527819,1.35
79.000,-523771,8.49
80.000,-518292,18.17
81.000,-513972,25.79
82.000,-514913,24.13
83.000,-508156,36.06
84.000,-512235,28.86
85.000,-508690,35.12
86.000,-500476,49.62
87.000,-495758,57.95
88.000,-496106,57.34
89.000,-494814,59.62
90.000,-495765,57.94
91.000,-489858,68.37
92.000,-489525,68.96
93.000,-483995,78.72
94.000,-479475,86.70
95.000,-479762,86.19
96.000,-477555,90.09
97.000,-467524,107.80
98.000,-468031,106.90
101.059,-470790,-2.40
102.059,-459494,17.55
103.059,-459717,17.15
104.059,-451244,32.11
105.059,-454440,26.47
106.059,-450903,32.72
107.059,-446609,40.30
108.059,-447167,39.31
109.059,-444795,43.50
110.059,-445237,42.72
111.059,-435433,60.03
112.059,-427305,74.38
113.059,-436359,58.39
114.059,-425947,76.78
115.059,-425576,77.43
116.059,-422714,82.48
117.059,-426264,76.22
118.059,-418559,89.82
119.059,-410952,103.25
120.059,-413363,98.99
121.059,-412565,100.40
122.059,-411267,102.70
123.059,-409955,105.01
124.059,-408282,107.97
125.059,-404158,115.25
126.059,-402611,117.98
127.059,-398997,124.36
128.059,-397416,127.15
129.059,-397454,127.08
130.059,-392690,135.49
131.059,-394080,133.04
132.059,-387155,145.27
133.059,-392747,135.39
134.059,-386873,145.76
135.059,-378850,159.93
136.059,-381317,155.57
137.059,-385430,148.31
138.059,-378801,160.02
139.059,-386565,146.31
140.059,-386548,146.34
141.059,-378004,161.42
142.059,-381219,155.75
143.059,-378504,160.54
144.059,-378899,159.84
145.059,-377736,161.90
146.059,-383106,152.41
147.059,-377584,162.16
148.059,-376492,164.09
149.059,-380288,157.39
150.059,-377188,162.86
151.059,-379042,159.59
152.059,-377032,163.14
153.059,-380859,156.38
154.059,-378167,161.13
155.059,-387031,145.48
156.059,-382777,153.00
157.059,-383353,151.98
158.059,-378163,161.14
159.059,-389558,141.02
160.059,-380708,156.65
161.059,-384877,149.29
162.059,-385164,148.78
163.059,-386551,146.33
164.059,-390713,138.98
165.059,-396232,129.24
166.059,-387962,143.84
167.059,-393988,133.20
168.059,-395345,130.81
169.059,-394329,132.60
170.059,-395958,129.72
171.059,-398484,125.26
172.059,-399144,124.10
173.059,-404769,114.17
174.059,-399809,122.92
175.059,-406523,111.07
176.059,-405870,112.22
177.059,-409574,105.68
178.059,-405335,113.17
179.059,-415838,94.62
180.059,-419827,87.58
181.059,-421453,84.71
182.059,-420599,86.22
183.059,-418124,90.59
184.059,-431758,66.52
185.059,-432113,65.89
186.059,-427527,73.99
187.059,-432837,64.61
188.059,-435637,59.67
189.059,-441608,49.13
190.059,-436228,58.63
191.059,-442073,48.31
192.059,-448563,36.85
193.059,-448464,37.02
194.059,-449742,34.77
195.059,-450884,32.75
196.059,-453531,28.08
197.059,-455650,24.34
198.059,-460245,16.22
199.059,-462571,12.12
202.118,-470548,32.53
203.118,-471345,31.12
204.118,-472839,28.49
205.118,-479126,17.39
206.118,-480575,14.83
207.118,-481862,12.56
208.118,-484174,8.47
209.118,-492283,-5.84
