t_ms,code,microstrain
0.000,-431286,126.68
1.000,-432389,124.73
2.000,-433648,122.51
3.000,-435810,118.69
4.000,-436829,116.90
5.000,-438492,113.96
6.000,-440025,111.25
7.000,-442413,107.04
8.000,-443614,104.92
9.000,-446564,99.71
10.000,-448868,95.64
11.000,-450688,92.43
12.000,-452035,90.05
13.000,-453722,87.07
14.000,-455748,83.49
15.000,-457952,79.60
16.000,-458992,77.77
17.000,-460924,74.35
18.000,-463400,69.98
19.000,-465440,66.38
20.000,-468050,61.77
21.000,-469566,59.10
22.000,-471638,55.44
23.000,-473855,51.52
24.000,-476018,47.71
25.000,-476774,46.37
26.000,-479642,41.31
27.000,-481262,38.45
28.000,-483793,33.98
29.000,-486386,29.40
30.000,-487157,28.04
31.000,-490112,22.82
32.000,-490897,21.44
33.000,-493608,16.65
34.000,-495018,14.16
35.000,-496828,10.96
36.000,-499025,7.09
37.000,-501325,3.03
38.000,-501939,1.94
39.000,-504426,-2.45
40.000,-506190,-5.56
41.000,-506882,-6.79
42.000,-510498,-13.17
43.000,-510949,-13.97
44.000,-512187,-16.15
45.000,-513445,-18.37
46.000,-515425,-21.87
47.000,-518039,-26.48
48.000,-518459,-27.23
49.000,-518866,-27.94
50.000,-520688,-31.16
51.000,-522520,-34.40
52.000,-523329,-35.82
53.000,-525379,-39.44
54.000,-525248,-39.21
55.000,-526576,-41.56
56.000,-527277,-42.79
57.000,-529049,-45.92
58.000,-529221,-46.23
59.000,-530131,-47.83
60.000,-530849,-49.10
61.000,-532338,-51.73
62.000,-532365,-51.78
63.000,-532185,-51.46
64.000,-533135,-53.14
65.000,-533694,-54.12
66.000,-535330,-57.01
67.000,-535221,-56.82
68.000,-534971,-56.38
69.000,-535047,-56.51
70.000,-537077,-60.10
71.000,-536317,-58.75
72.000,-536359,-58.83
73.000,-537456,-60.77
74.000,-536561,-59.19
75.000,-536362,-58.83
76.000,-536439,-58.97
77.000,-536748,-59.52
78.000,-535636,-57.55
79.000,-536084,-58.34
80.000,-535741,-57.74
81.000,-534088,-54.82
82.000,-533943,-54.56
83.000,-533555,-53.88
84.000,-533155,-53.17
85.000,-532470,-51.96
86.000,-531276,-49.85
87.000,-530317,-48.16
88.000,-530179,-47.92
89.000,-529415,-46.57
90.000,-527988,-44.05
91.000,-527858,-43.82
92.000,-525682,-39.98
93.000,-525069,-38.90
94.000,-524295,-37.53
95.000,-521234,-32.13
96.000,-520557,-30.93
97.000,-519501,-29.07
98.000,-517789,-26.04
101.042,-516458,-81.61
102.042,-515601,-80.10
103.042,-514087,-77.43
104.042,-511486,-72.84
105.042,-509900,-70.04
106.042,-508076,-66.81
107.042,-506312,-63.70
108.042,-504074,-59.75
109.042,-502036,-56.15
110.042,-500997,-54.32
111.042,-499121,-51.00
112.042,-495858,-45.24
113.042,-494658,-43.12
114.042,-492520,-39.35
115.042,-490876,-36.45
116.042,-487725,-30.88
