-111436	2.4
-111807	1.7
-111959	1.4
-111959	1.4
-111670	1.9
-111919	1.5
-111243	2.7
-111790	1.7
-112002	1.4
-112016	1.3
-112079	1.2
-111854	1.6
-111872	1.6
-110915	3.3
-111301	2.6
-112229	1.0
-111866	1.6
-111676	1.9
-112027	1.3
-111123	2.9
-111768	1.8
-111846	1.6
-111618	2.0
-112346	0.8
-111620	2.0
-112069	1.2
-111941	1.5
-112006	1.4
-112097	1.2
-111519	2.2
-111948	1.5
-111835	1.7
-112180	1.0
-111225	2.7
-111669	2.0
-112117	1.2
-111937	1.5
-111609	2.1
-112011	1.3
-111795	1.7
-111641	2.0
-111739	1.8
-111563	2.1
-111882	1.6
-111928	1.5
-111567	2.1
-111975	1.4
-111816	1.7
-112235	1.0
-112029	1.3
-112322	0.8
-111395	2.4
-111526	2.2
-111801	1.7
-112019	1.3
-111821	1.7
-111702	1.9
-111579	2.1
-111667	2.0
-112281	0.9
-111874	1.6
-111929	1.5
-112274	0.9
-112151	1.1
-111587	2.1
-111876	1.6
-111400	2.4
-112316	0.8
-111975	1.4
-111910	1.5
-111709	1.9
-111711	1.9
-111801	1.7
-111543	2.2
-111400	2.4
-111679	1.9
-112325	0.8
-111361	2.5
-111559	2.1
-111654	2.0
-111603	2.1
-111679	1.9
-112078	1.2
-111375	2.5
-111548	2.2
-111354	2.5
-111655	2.0
-111258	2.7
-111952	1.5
-112133	1.1
-111473	2.3
-111262	2.7
-111258	2.7
-111765	1.8
-111401	2.4
-111906	1.5
-111546	2.2
-111447	2.3
-111564	2.1
-111507	2.2
-111894	1.6
-111413	2.4
-111827	1.7
-111667	2.0
-111433	2.4
-111866	1.6
-111967	1.4
-111274	2.6
-111836	1.7
-111465	2.3
-111746	1.8
-111651	2.0
-111981	1.4
-111758	1.8
-112303	0.8
-111685	1.9
-111882	1.6
-111582	2.1
-110925	3.3
-111710	1.9
-111766	1.8
-111966	1.4
-111750	1.8
-111907	1.5
-111473	2.3
-111977	1.4
-111927	1.5
-111735	1.8
-111677	1.9
-111137	2.9
-111748	1.8
-111607	2.1
-111613	2.0
-112312	0.8
-111645	2.0
-111921	1.5
-111907	1.5
-111945	1.5
-111578	2.1
-112253	0.9
-112081	1.2
-111703	1.9
-111528	2.2
-111713	1.9
-111988	1.4
-111514	2.2
-112004	1.4
-111933	1.5
-111742	1.8
-111545	2.2
-111553	2.2
-111890	1.6
-111788	1.7
-111989	1.4
-111801	1.7
-111620	2.0
-111322	2.6
-111744	1.8
-111722	1.9
-111818	1.7
-111709	1.9
-111901	1.5
-111507	2.2
-111351	2.5
-111533	2.2
-111552	2.2
-111960	1.4
-111903	1.5
-111566	2.1
-111365	2.5
-112112	1.2
-111460	2.3
-111844	1.6
-112119	1.2
-112060	1.3
-111939	1.5
-111892	1.6
-111653	2.0
-111481	2.3
-112228	1.0
-111785	1.7
-111553	2.2
-112080	1.2
-111604	2.1
-112136	1.1
-112212	1.0
-111774	1.8
-111540	2.2
-111203	2.8
-111756	1.8
-112295	0.8
-111937	1.5
-112076	1.2
-112065	1.3
-111612	2.1
-111260	2.7
-111688	1.9
-112103	1.2
-111768	1.8
-112012	1.3
-111861	1.6
-111327	2.6
-111492	2.3
-112622	0.3
-111915	1.5
-111866	1.6
-111973	1.4
-111410	2.4
-111079	3.0
-111646	2.0
-111928	1.5
-111792	1.7
-111974	1.4
-112021	1.3
-111649	2.0
-111541	2.2
-111623	2.0
-111783	1.7
-112078	1.2
-111729	1.8
-111588	2.1
-111567	2.1
-112057	1.3
-112308	0.8
-111500	2.2
-111848	1.6
-111729	1.8
-111377	2.5
-112123	1.1
-111944	1.5
-111988	1.4
-111995	1.4
-111924	1.5
-111560	2.1
-111563	2.1
-111454	2.3
-111691	1.9
-111521	2.2
-111959	1.4
-111928	1.5
-111237	2.7
-111482	2.3
-112210	1.0
-111367	2.5
-111611	2.1
-112627	0.3
-112156	1.1
-111347	2.5
-111598	2.1
-111759	1.8
-111830	1.7
-112140	1.1
-112052	1.3
-111257	2.7
-111026	3.1
-111489	2.3
-111722	1.9
-111692	1.9
-112174	1.1
-112155	1.1
-111362	2.5
-111626	2.0
-112242	0.9
-111643	2.0
-112242	0.9
-111992	1.4
-111767	1.8
-111505	2.2
-112227	1.0
-112078	1.2
-111900	1.5
-111944	1.5
-112236	0.9
-111829	1.7
-111268	2.7
-111850	1.6
-111905	1.5
-111644	2.0
-111565	2.1
-111723	1.9
-111802	1.7
-111548	2.2
-112217	1.0
-111759	1.8
-111793	1.7
-111628	2.0
-111295	2.6
-111985	1.4
-111508	2.2
-111838	1.7
-111591	2.1
-112130	1.1
-111571	2.1
-111314	2.6
-111335	2.5
-111556	2.2
-112196	1.0
-111596	2.1
-111913	1.5
-111289	2.6
-112128	1.1
-111921	1.5
-112148	1.1
-112004	1.4
-111793	1.7
-111559	2.1
-111443	2.3
-111726	1.9
-111740	1.8
-111807	1.7
-111672	1.9
-111608	2.1
-111597	2.1
-111612	2.1
-111962	1.4
-112131	1.1
-112015	1.3
-111923	1.5
-111983	1.4
-111437	2.4
-111442	2.4
-112135	1.1
-111980	1.4
-112147	1.1
-111789	1.7
-111104	2.9
-111709	1.9
-112291	0.9
-111505	2.2
-112090	1.2
-111926	1.5
-111540	2.2
-111484	2.3
-111681	1.9
-111613	2.0
-112294	0.8
-111911	1.5
-111864	1.6
-111920	1.5
-111863	1.6
-111887	1.6
-111668	2.0
-111891	1.6
-112235	1.0
-111874	1.6
-111674	1.9
-111739	1.8
-111547	2.2
-111697	1.9
-112625	0.3
-111532	2.2
-111738	1.8
-111555	2.2
-111632	2.0
-111835	1.7
