t_ms,code,microstrain
782.451,-115628,0.71
785.793,-115619,0.72
788.823,-115646,0.67
791.854,-116085,-0.10
794.884,-116072,-0.08
797.914,-116487,-0.81
800.945,-116155,-0.23
803.975,-116087,-0.11
807.005,-115556,0.83
810.353,-116671,-1.13
813.383,-115941,0.16
816.414,-116351,-0.56
819.444,-116466,-0.77
822.474,-116029,0.00
825.505,-115944,0.15
828.535,-115530,0.89
831.565,-116716,-1.21
834.907,-116834,-1.42
837.937,-116289,-0.45
840.968,-115901,0.23
843.998,-115731,0.53
847.028,-115445,1.04
850.059,-115737,0.52
853.089,-116375,-0.61
856.119,-116138,-0.19
859.465,-116427,-0.69
862.495,-116232,-0.35
865.526,-115787,0.44
868.556,-116291,-0.45
871.586,-116165,-0.23
874.617,-116069,-0.06
877.647,-116231,-0.35
880.677,-115744,0.51
884.009,-115427,1.06
887.039,-115643,0.68
890.070,-115499,0.93
893.100,-116107,-0.14
896.130,-116196,-0.30
899.161,-115894,0.23
902.191,-115846,0.32
905.221,-115392,1.12
908.574,-115842,0.32
911.604,-116225,-0.35
914.635,-116060,-0.06
917.665,-116133,-0.19
920.695,-116236,-0.37
923.726,-115935,0.16
926.756,-115442,1.03
929.786,-116021,0.01
933.123,-116345,-0.57
936.153,-116163,-0.25
939.184,-116186,-0.29
942.214,-115777,0.44
945.244,-115450,1.01
948.275,-115761,0.46
951.305,-115921,0.18
954.335,-115956,0.12
957.678,-116646,-1.10
960.708,-115842,0.32
963.739,-115723,0.53
966.769,-115921,0.18
969.799,-115897,0.22
972.830,-115833,0.34
975.860,-116118,-0.17
978.890,-116170,-0.26
982.234,-116311,-0.51
985.264,-115460,0.99
988.295,-115397,1.11
991.325,-116186,-0.29
994.355,-116072,-0.09
997.386,-116160,-0.24
1000.416,-116159,-0.24
1003.446,-116233,-0.37
1006.790,-115941,0.14
1009.820,-115642,0.66
1012.851,-115998,0.04
1015.881,-115790,0.40
1018.911,-116335,-0.56
1021.942,-115801,0.38
1024.972,-115632,0.68
1028.002,-115500,0.92
1031.356,-115957,0.11
1034.386,-116038,-0.03
1037.417,-116410,-0.69
1040.447,-116092,-0.13
1043.477,-115910,0.19
1046.508,-115311,1.25
1049.538,-116013,0.01
1052.568,-116355,-0.59
1055.912,-117359,-2.36
1058.942,-116176,-0.27
1061.973,-116016,0.01
1065.003,-115772,0.44
1068.033,-115763,0.46
1071.064,-115832,0.33
1074.094,-116261,-0.42
1077.124,-116000,0.04
1080.467,-116518,-0.87
1083.497,-115933,0.16
1086.528,-115599,0.75
1089.558,-115926,0.17
1092.588,-115898,0.22
1095.619,-116890,-1.53
1098.649,-116232,-0.37
1101.679,-115608,0.73
1105.023,-115776,0.43
1108.053,-115645,0.66
1111.084,-115998,0.04
1114.114,-116515,-0.87
1117.144,-116678,-1.16
1120.175,-115648,0.66
1123.205,-115639,0.67
1126.235,-115351,1.18
1129.584,-116044,-0.04
1132.614,-116107,-0.15
1135.645,-116062,-0.07
1138.675,-116254,-0.41
1141.705,-115845,0.31
1144.736,-115830,0.34
1147.766,-115871,0.26
1150.796,-116189,-0.30
1154.136,-117183,-2.05
1157.166,-116973,-1.68
1160.197,-116286,-0.46
1163.227,-115750,0.48
1166.257,-115448,1.02
1169.288,-115738,0.50
1172.318,-115854,0.30
1175.348,-116176,-0.27
1178.683,-116697,-1.19
1181.713,-116095,-0.13
1184.744,-115657,0.64
1187.774,-115389,1.12
1190.804,-115903,0.21
1193.835,-115918,0.18
1196.865,-116206,-0.33
1199.895,-115766,0.45
1203.238,-116559,-0.94
1206.268,-116278,-0.45
1209.299,-116041,-0.03
1212.329,-116071,-0.08
1215.359,-116665,-1.13
1218.390,-116036,-0.02
1221.420,-115937,0.15
1224.450,-115712,0.55
1227.793,-116125,-0.18
1230.823,-115862,0.28
1233.854,-116079,-0.10
1236.884,-116252,-0.41
1239.914,-115660,0.64
1242.945,-115832,0.34
1245.975,-115880,0.25
1249.005,-115631,0.69
1252.352,-115588,0.77
1255.382,-116758,-1.30
1258.413,-115971,0.09
1261.443,-116243,-0.39
1264.473,-116181,-0.28
1267.504,-115521,0.89
1270.534,-116056,-0.06
1273.564,-116095,-0.13
1276.906,-116848,-1.46
1279.936,-115928,0.17
1282.967,-115891,0.23
1285.997,-115715,0.54
1289.027,-115401,1.10
1292.058,-116072,-0.09
1295.088,-116186,-0.29
1298.118,-115850,0.30
1301.470,-116172,-0.27
1304.500,-115603,0.74
1307.531,-115438,1.03
1310.561,-115987,0.06
1313.591,-115843,0.32
1316.622,-116630,-1.07
1319.652,-116127,-0.19
1322.682,-116071,-0.09
1326.028,-115880,0.25
1329.058,-115847,0.31
1332.089,-115762,0.46
1335.119,-116368,-0.61
1338.149,-116155,-0.24
1341.180,-116073,-0.09
1344.210,-116033,-0.02
1347.240,-115818,0.36
1350.589,-116078,-0.10
1353.619,-116275,-0.45
1356.650,-116464,-0.78
1359.680,-115865,0.28
1362.710,-115729,0.52
1365.741,-115641,0.67
1368.771,-116201,-0.32
1371.801,-116099,-0.14
1375.140,-116615,-1.05
1378.170,-116378,-0.63
1381.201,-115598,0.75
1384.231,-115647,0.66
1387.261,-115249,1.36
1390.292,-116091,-0.12
1393.322,-116341,-0.56
1396.352,-116059,-0.07
1399.695,-116498,-0.85
1402.725,-115704,0.56
1405.756,-115487,0.94
1408.786,-115459,0.99
1411.816,-115756,0.46
1414.847,-116433,-0.73
1417.877,-116099,-0.14
1420.907,-115868,0.27
1424.253,-116176,-0.28
1427.283,-115696,0.57
1430.314,-115581,0.77
1433.344,-115889,0.23
1436.374,-116045,-0.05
1439.405,-116265,-0.44
1442.435,-115664,0.62
1445.465,-115777,0.42
1448.798,-116261,-0.43
1451.828,-116106,-0.16
1454.859,-116210,-0.34
1457.889,-116424,-0.72
1460.919,-115690,0.58
1463.950,-115653,0.64
1466.980,-115140,1.55
1470.010,-116047,-0.06
1473.355,-116645,-1.11
1476.385,-116451,-0.77
1479.416,-115839,0.31
1482.446,-115944,0.13
1485.476,-115838,0.32
1488.507,-115875,0.25
1491.537,-116159,-0.25
1494.567,-115731,0.50
1497.911,-116498,-0.85
1500.941,-116292,-0.48
1503.972,-116008,0.02
1507.002,-115588,0.76
1510.032,-115988,0.05
1513.063,-116326,-0.54
1516.093,-116227,-0.37
1519.123,-116329,-0.55
1522.496,-116818,-1.41
1525.526,-115929,0.16
1528.557,-115631,0.69
1531.587,-116075,-0.10
1534.617,-116304,-0.50
1537.648,-116470,-0.79
1540.678,-116279,-0.46
1543.708,-115767,0.45
1547.023,-115939,0.14
1550.053,-115646,0.66
1553.084,-116591,-1.01
1556.114,-116128,-0.19
1559.144,-116257,-0.42
1562.175,-115487,0.94
1565.205,-115920,0.18
1568.235,-115808,0.37
1571.590,-116236,-0.38
1574.620,-116116,-0.17
1577.651,-116639,-1.09
1580.681,-115848,0.30
1583.711,-116140,-0.21
1586.742,-115504,0.91
1589.772,-115495,0.93
1592.802,-116009,0.02
1596.144,-117025,-1.77
1599.174,-115929,0.16
1602.205,-116001,0.04
1605.235,-115907,0.20
1608.265,-115571,0.80
1611.296,-116266,-0.43
1614.326,-116055,-0.06
1617.356,-116324,-0.53
1620.701,-116276,-0.45
1623.731,-115748,0.48
1626.762,-115402,1.09
1629.792,-116083,-0.11
1632.822,-116257,-0.42
1635.853,-116487,-0.82
1638.883,-116172,-0.27
1641.913,-115580,0.78
1645.255,-115830,0.33
1648.285,-115636,0.68
1651.316,-116567,-0.97
1654.346,-116452,-0.76
1657.376,-115837,0.32
1660.407,-116059,-0.07
1663.437,-115325,1.23
1666.467,-115388,1.11
1669.813,-116066,-0.08
1672.843,-116153,-0.24
1675.874,-116646,-1.11
1678.904,-115922,0.17
1681.934,-115928,0.16
1684.965,-115755,0.47
1687.995,-115747,0.48
1691.025,-116039,-0.03
1694.367,-116302,-0.50
1697.397,-116105,-0.15
1700.428,-115918,0.18
1703.458,-116076,-0.10
1706.488,-115846,0.31
1709.519,-115627,0.69
1712.549,-116135,-0.20
1715.579,-116132,-0.20
1718.916,-116876,-1.50
1721.946,-116642,-1.09
1724.977,-116952,-1.64
1728.007,-115726,0.53
1731.037,-115671,0.62
1734.068,-116289,-0.47
1737.098,-116672,-1.14
1740.128,-116189,-0.29
1743.469,-115652,0.65
1746.499,-116003,0.03
1749.530,-115405,1.09
1752.560,-115936,0.15
1755.590,-116569,-0.97
1758.621,-116057,-0.06
1761.651,-115725,0.53
1764.681,-115634,0.69
1768.026,-115949,0.13
1771.056,-116035,-0.03
1774.087,-116116,-0.17
1777.117,-116302,-0.50
1780.147,-115537,0.85
1783.178,-115742,0.49
1786.208,-115575,0.79
1789.238,-115773,0.44
1792.585,-116426,-0.72
1795.615,-116619,-1.06
1798.646,-116509,-0.86
1801.676,-115787,0.41
1804.706,-115743,0.49
1807.737,-115832,0.33
1810.767,-115676,0.61
1813.797,-115912,0.19
1817.139,-115782,0.42
1820.169,-116119,-0.18
1823.200,-115595,0.75
1826.230,-115463,0.98
1829.260,-115729,0.51
1832.291,-115923,0.17
1835.321,-116051,-0.06
1838.351,-116192,-0.31
1841.695,-116103,-0.15
1844.725,-115950,0.12
1847.756,-115573,0.79
1850.786,-115971,0.08
1853.816,-116191,-0.30
1856.847,-116449,-0.76
1859.877,-115736,0.50
1862.907,-116045,-0.05
1866.260,-115516,0.89
1869.290,-116225,-0.37
1872.321,-116186,-0.30
1875.351,-116384,-0.65
1878.381,-116245,-0.40
1881.412,-115802,0.38
1884.442,-115699,0.56
1887.472,-115420,1.05
1890.817,-116218,-0.35
1893.847,-115891,0.22
1896.878,-116865,-1.50
1899.908,-116253,-0.42
1902.938,-115892,0.22
1905.969,-115214,1.42
1908.999,-115816,0.36
1912.029,-116051,-0.06
1915.373,-116619,-1.06
1918.403,-116078,-0.11
1921.434,-116208,-0.34
1924.464,-115955,0.11
1927.494,-115679,0.60
1930.525,-115623,0.70
1933.555,-115852,0.29
1936.585,-116328,-0.55
1939.927,-115723,0.52
1942.957,-115640,0.66
1945.988,-115675,0.60
1949.018,-115380,1.12
1952.048,-116323,-0.54
1955.079,-116109,-0.17
1958.109,-116033,-0.03
1961.139,-115732,0.50
1964.485,-116188,-0.31
1967.515,-115632,0.68
1970.546,-115640,0.66
1973.576,-116396,-0.67
1976.606,-115925,0.16
1979.637,-116186,-0.30
1982.667,-116006,0.02
1985.697,-115796,0.39
1989.034,-116026,-0.02
1992.064,-116318,-0.54
1995.095,-116179,-0.29
1998.125,-116436,-0.74
2001.155,-115812,0.36
2004.186,-115585,0.76
2007.216,-115431,1.03
2010.246,-116064,-0.09
2013.588,-116153,-0.24
2016.618,-116265,-0.44
2019.649,-115862,0.27
2022.679,-115969,0.08
2025.709,-115911,0.18
2028.740,-115962,0.09
2031.770,-116290,-0.49
2034.800,-116057,-0.07
2038.143,-117238,-2.16
2041.173,-116096,-0.14
2044.204,-115758,0.45
2047.234,-115308,1.25
2050.264,-115767,0.44
2053.295,-116184,-0.30
2056.325,-116216,-0.35
2059.355,-116090,-0.13
2062.700,-115917,0.17
2065.730,-115691,0.57
2068.761,-115413,1.06
2071.791,-115705,0.55
2074.821,-116011,0.01
2077.852,-116390,-0.66
2080.882,-116221,-0.36
2083.912,-116078,-0.11
2087.256,-115578,0.77
2090.286,-116475,-0.81
2093.317,-116208,-0.34
2096.347,-116471,-0.80
2099.377,-116337,-0.57
2102.408,-115590,0.75
2105.438,-115648,0.65
2108.468,-115664,0.62
2111.812,-116357,-0.60
2114.842,-116132,-0.21
2117.873,-116124,-0.19
2120.903,-115864,0.27
2123.933,-115867,0.26
2126.964,-115411,1.07
2129.994,-115991,0.04
2133.024,-115878,0.24
2136.378,-116512,-0.88
2139.408,-115723,0.52
2142.439,-115701,0.55
2145.469,-115569,0.79
2148.499,-115840,0.31
2151.530,-115694,0.57
2154.560,-116197,-0.32
2157.590,-116316,-0.53
2160.933,-116244,-0.40
2163.963,-115779,0.42
2166.994,-115669,0.61
2170.024,-115541,0.84
2173.054,-115912,0.18
2176.085,-116316,-0.53
2179.115,-116415,-0.71
2182.145,-115704,0.55
2185.489,-116124,-0.19
2188.519,-115876,0.25
2191.550,-116054,-0.07
2194.580,-116389,-0.66
2197.610,-116015,0.00
2200.641,-116129,-0.20
2203.671,-116024,-0.02
2206.701,-115557,0.81
2210.047,-115849,0.29
2213.077,-116471,-0.80
2216.108,-115931,0.15
2219.138,-116185,-0.30
2222.168,-116035,-0.04
2225.199,-115530,0.86
2228.229,-115731,0.50
2231.259,-116118,-0.18
2234.601,-116574,-0.99
2237.631,-116712,-1.23
2240.662,-116272,-0.45
2243.692,-115396,1.09
2246.722,-115496,0.92
2249.753,-115907,0.19
2252.783,-116196,-0.32
2255.813,-116465,-0.79
2259.157,-116807,-1.40
2262.187,-115856,0.28
2265.218,-115691,0.57
2268.248,-115784,0.41
2271.278,-115758,0.45
2274.309,-115791,0.40
2277.339,-116272,-0.45
2280.369,-116362,-0.61
2283.703,-115382,1.12
2286.733,-115459,0.98
2289.764,-115584,0.76
2292.794,-116014,0.00
2295.824,-116330,-0.56
2298.855,-115963,0.09
2301.885,-115924,0.16
2304.915,-115595,0.74
2308.259,-116075,-0.11
2311.289,-115855,0.28
2314.320,-115899,0.20
2317.350,-116370,-0.63
2320.380,-115978,0.07
2323.411,-115648,0.65
2326.441,-115554,0.81
2329.471,-115782,0.41
2332.818,-116593,-1.02
2335.848,-116094,-0.14
2338.879,-116170,-0.27
2341.909,-115569,0.79
2344.939,-115678,0.60
2347.970,-115606,0.72
2351.000,-116010,0.01
2354.030,-116411,-0.70
2357.371,-116625,-1.08
